comment,likes,time,author,clean_text,panjang_teks,jumlah_kata,sentimen,skor_sentimen,clean_topic,emotion,skor_emotion
"Program MBG seharusnya hanya untuk daerah terpencil, terperosok dan tertinggal dan tidak di setiap daerah di Indonesia. Output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya, alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara. Ironisnya para yayasan pengelola  atau mitra dapur SPPG justru “kroni” penguasa sehingga tidak memberi kesempatan UMKM. Program MBG resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara",0,5 days ago,@suryautama578,"program mbg seharusnya hanya untuk daerah terpencil, terperosok dan tertinggal dan tidak di setiap daerah di indonesia. output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya, alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara. ironisnya para yayasan pengelola atau mitra dapur satuan pelayanan pemenuhan gizi justru kroni penguasa sehingga tidak memberi kesempatan umkm. program mbg resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara",569,80,negative,0.9920491576194763,program mbg daerah pencil perosok tinggal daerah indonesia output outcome jelas muat substansi indeks tolok ukur jelas output outcome nya alih alih cipta output outcome malah justru beban anggarsn negara ironis yayasan kelola mitra dapur satu layan penuh gizi justru kroni kuasa beri sempat umkm program mbg resistensi jadi boros uang negara bahkan mungkin rugi negara,sadness,0.527330756187439
"Mari kita lihat kembali Janji  3 capres ketika Kampanye di sesi debat terbuka.

1 Anis B  Capres No 1
Janji politiknya adalah perubahan selalu perubahan, tapi perubahan yg bagaimana tidak jelas   adalah janji  kosong asal janji  tidak punya magna.

2 Prabowo S Capres No2
Janji politiknya adalah Makan siang Gratis untuk anak sekolah dalam upaya Perbaikan Gizi.

3 Ganjar P  Capres No 3
Janji politiknya adalah Pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan, dan layanan kesehatan gratis bagi lansia yg tidak punya penghasilan

Dari 3 capres ini kita bisa menilai secara obyektif   menyimpulkan janji politiknya capres yg realitis dan tepat dengan kondisi indonesia saat ini_

Kalau kebijakan presiden terpilih Prabowo  banyak yg tidak tepat   yg salah yg milih  hampir 60℅ pemilih.",0,6 days ago,@hadiarifin3303,"mari kita lihat kembali janji 3 capres ketika kampanye di sesi debat terbuka. 1 anis b capres no 1 janji politiknya adalah perubahan selalu perubahan, tapi perubahan yang bagaimana tidak jelas adalah janji kosong asal janji tidak punya magna. 2 prabowo s capres no2 janji politiknya adalah makan siang gratis untuk anak sekolah dalam upaya perbaikan gizi. 3 ganjar p capres no 3 janji politiknya adalah pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan, dan layanan kesehatan gratis bagi lansia yang tidak punya penghasilan dari 3 capres ini kita bisa menilai secara obyektif menyimpulkan janji politiknya capres yang realitis dan tepat dengan kondisi indonesia saat ini kalau kebijakan presiden terpilih prabowo banyak yang tidak tepat yang salah yang milih hampir 60 pemilih.",859,130,negative,0.7528873682022095,lihat janji 3 capres kampanye sesi debat buka 1 anis b capres no 1 janji politik ubah selalu ubah ubah bagaimana jelas janji kosong asal janji punya magna 2 prabowo s capres no2 janji politik makan siang gratis anak sekolah upaya baik gizi 3 ganjar p capres no 3 janji politik didik gratis keluarga miskin berperestasi tingkat guru tinggi rangka rakyat dapat hak didik layan sehat gratis lansia punya hasil 3 capres nilai obyektif simpul janji politik capres realitis tepat kondisi indonesia bijak presiden pilih prabowo banyak tepat salah milih hampir 60 pilih,anger,0.714723527431488
Klu dessa d kota oke sesuai kebijakan tapi desa di luar kota itu di nipolasi semua oleh kepala daerah periksa saja klu gak percaya,0,9 days ago,@AtotAndreas,kalau dessa d kota oke sesuai kebijakan tapi desa di luar kota itu di nipolasi semua oleh kepala daerah periksa saja kalau tidak percaya,136,24,negative,0.9907103180885315,dessa d kota oke sesuai bijak desa luar kota nipolasi semua kepala daerah periksa percaya,anger,0.8732630610466003
"335T pertahun, berarti 1,675 Kuadriliun per-satu masa jabatan pak wowo. fyi, jumlah segitu kurang lebih setara sm nilai investasi Nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi AI di masa depan.
kurang mindblowing apa coba, dana yg cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern, eh org kita mlh milih all out buat muasin ego realisasi program kampanye yg berpotensi jd ladang basah korupsi nasional😂",0,11 days ago,@achmadhusein389,"335 triliun pertahun, berarti 1,675 kuadriliun per satu masa jabatan bapak wowo. fyi, jumlah segitu kurang lebih setara sama nilai investasi nvidia untuk pengembangan pusat data super berskala global dan infrastruktur komputasi ai di masa depan. kurang mindblowing apa coba, dana yang cukup untuk jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern, eh orang kita mlh milih all out untuk muasin ego realisasi program kampanye yang berpotensi jadi ladang basah korupsi nasional",521,78,positive,0.393065482378006,335 triliun tahun arti 1 675 kuadriliun per satu masa jabat bapak wowo fyi jumlah segitu kurang lebih tara sama nilai investasi nvidia kembang pusat data super skala global infrastruktur komputasi ai masa depan kurang mindblowing apa coba dana cukup jalanin proyek skala global potensi ngasih dampak signifikan industri era modern eh orang mlh milih all out muasin ego realisasi program kampanye potensi ladang basah korupsi nasional,sadness,0.36141839623451233
"Pasti parpol yg tergabung nikmati hasil korupsinya,dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tdk profesional,presiden ngotot diteruskan tanpa  dicek hasilnya,benar maling kedok mbg.",0,2 weeks ago,@jakasusila4522,"pasti parpol yang tergabung nikmati hasil korupsinya,dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tidak profesional,presiden ngotot diteruskan tanpa dicek hasilnya,benar maling kedok mbg.",211,27,negative,0.9990028738975525,parpol gabung nikmat hasil korupsi dg dalih beri makan anak sekolah proses akademesi jelas ngawur profesional presiden ngotot terus cek hasil benar maling kedok mbg,anger,0.9658218622207642
"Menaikan ekonomi pemilik mbg, merusak ekinomi seluruh indonesia.
😊",0,2 weeks ago,@TonyRush-uq8zf,"menaikan ekonomi pemilik mbg, merusak ekinomi seluruh indonesia.",64,8,negative,0.9815277457237244,naik ekonomi milik mbg rusak ekinomi seluruh indonesia,anger,0.5754538178443909
Modal wowo ngejar koruptor ke Antartika,0,2 weeks ago,@Baning1234-c3m,modal wowo ngejar koruptor ke antartika,39,6,neutral,0.9167255163192749,modal wowo ngejar koruptor antartika,happy,0.43499016761779785
lihat saja kedepan nya nanti 😊 yang pasti ekonomi mulai berjalan yang pasti petani harus lebih giat lagi apa pun itu,0,2 weeks ago,@romina6907,lihat saja kedepan nya nanti yang pasti ekonomi mulai berjalan yang pasti petani harus lebih giat lagi apa pun itu,114,20,positive,0.7178527116775513,lihat depan ekonomi mulai jalan tani lebih giat apa,happy,0.4450713098049164
Seolah negara Indonesia hnya milik mereka2 saja..makan kenyang uang ngalir terus..,0,2 weeks ago,@parmiaryani4990,seolah negara indonesia hnya milik mereka2 saja..makan kenyang uang ngalir terus..,82,11,negative,0.9959979057312012,negara indonesia hnya milik mereka2 saja makan kenyang uang ngalir terus,anger,0.8459432125091553
"800 juta dana anggaran opini publik pakai apbn, mana ko gada yang bela mbg dana nya kemana",0,2 weeks ago,@reyy174,"800 juta dana anggaran opini publik pakai apbn, mana ko gada yang bela mbg dana nya kemana",90,17,negative,0.7652206420898438,800 juta dana anggar opini publik pakai apbn mana ko gada bela mbg dana,anger,0.8171154856681824
Mbg pentas nya buat makan kucing 😂,0,2 weeks ago,@ikahsantikah5786,mbg pentas nya untuk makan kucing,33,6,positive,0.5723222494125366,mbg pentas makan kucing,happy,0.8803107738494873
"300 trilyun lebih yg sampai ke masyarakat tdk lebih dr 30%.
Mending kasih rakyat org tua murid & org miskin. Insya Allah bermanfaat dan berdampak pd ekonomi kerakyatan... 
Iya ngga seh...?",0,3 weeks ago,@ayodhiaanto8215,300 triliun lebih yang sampai ke masyarakat tidak lebih dari 30%. mending kasih rakyat orang tua murid orang miskin. insya allah bermanfaat dan berdampak pada ekonomi kerakyatan... iya tidak seh...,197,30,positive,0.9420098662376404,300 triliun lebih masyarakat lebih 30 mending kasih rakyat orang tua murid orang miskin insya allah manfaat dampak ekonomi rakyat iya seh,happy,0.6681463122367859
Dana trilyunan cuma jadi tinja,0,3 weeks ago,@CikoJuli-j9g,dana trilyunan cuma jadi tinja,30,5,negative,0.9896513223648071,dana trilyunan cuma tinja,sadness,0.6216201782226562
Kalau saya MBG gak ada manfaatnya tmpat ladang korupsi,0,3 weeks ago,@CikoJuli-j9g,kalau saya mbg tidak ada manfaatnya tmpat ladang korupsi,56,9,negative,0.9987849593162537,mbg manfaat tmpat ladang korupsi,anger,0.7089130282402039
Anaknya makan gratis di skolah. Di rumah ibunya pusing belanja ke pasar harga naik untuk bikin masakan di rumah,0,3 weeks ago,@mustofaenalachjri6633,anaknya makan gratis di skolah. di rumah ibunya pusing belanja ke pasar harga naik untuk bikin masakan di rumah,111,19,positive,0.7227834463119507,anak makan gratis skolah rumah ibu pusing belanja pasar harga naik bikin masakan rumah,sadness,0.48211193084716797
MBG bikin lembaga sekolah kyak barak barak militer yg menyediakan makanan untuk tentara dlm Susana perang,0,3 weeks ago,@gemuruhchannel9524,mbg bikin lembaga sekolah kyak barak barak militer yang menyediakan makanan untuk tentara dlm susana perang,107,16,neutral,0.6666224598884583,mbg bikin lembaga sekolah kyak barak barak militer sedia makan tentara dlm susana perang,happy,0.5742771625518799
Kalau mau menutup Mbg harus sama presidenya baru bisa tutup MBG,0,3 weeks ago,@CahyaSaputra-c7t,kalau mau menutup mbg harus sama presidenya baru bisa tutup mbg,63,11,neutral,0.7583907842636108,mau tutup mbg sama presidenya baru tutup mbg,anger,0.7759586572647095
