comment,likes,time,author
"Program MBG seharusnya hanya untuk daerah terpencil, terperosok dan tertinggal dan tidak di setiap daerah di Indonesia. Output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya, alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara. Ironisnya para yayasan pengelola  atau mitra dapur SPPG justru “kroni” penguasa sehingga tidak memberi kesempatan UMKM. Program MBG resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara",0,5 days ago,@suryautama578
"Mari kita lihat kembali Janji  3 capres ketika Kampanye di sesi debat terbuka.

1 Anis B  Capres No 1
Janji politiknya adalah perubahan selalu perubahan, tapi perubahan yg bagaimana tidak jelas   adalah janji  kosong asal janji  tidak punya magna.

2 Prabowo S Capres No2
Janji politiknya adalah Makan siang Gratis untuk anak sekolah dalam upaya Perbaikan Gizi.

3 Ganjar P  Capres No 3
Janji politiknya adalah Pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan, dan layanan kesehatan gratis bagi lansia yg tidak punya penghasilan

Dari 3 capres ini kita bisa menilai secara obyektif   menyimpulkan janji politiknya capres yg realitis dan tepat dengan kondisi indonesia saat ini_

Kalau kebijakan presiden terpilih Prabowo  banyak yg tidak tepat   yg salah yg milih  hampir 60℅ pemilih.",0,6 days ago,@hadiarifin3303
Klu dessa d kota oke sesuai kebijakan tapi desa di luar kota itu di nipolasi semua oleh kepala daerah periksa saja klu gak percaya,0,9 days ago,@AtotAndreas
"335T pertahun, berarti 1,675 Kuadriliun per-satu masa jabatan pak wowo. fyi, jumlah segitu kurang lebih setara sm nilai investasi Nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi AI di masa depan.
kurang mindblowing apa coba, dana yg cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern, eh org kita mlh milih all out buat muasin ego realisasi program kampanye yg berpotensi jd ladang basah korupsi nasional😂",0,11 days ago,@achmadhusein389
Negara gagal,0,13 days ago,@mytubeid8834
"Pasti parpol yg tergabung nikmati hasil korupsinya,dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tdk profesional,presiden ngotot diteruskan tanpa  dicek hasilnya,benar maling kedok mbg.",0,2 weeks ago,@jakasusila4522
"Menaikan ekonomi pemilik mbg, merusak ekinomi seluruh indonesia.
😊",0,2 weeks ago,@TonyRush-uq8zf
Modal wowo ngejar koruptor ke Antartika,0,2 weeks ago,@Baning1234-c3m
lihat saja kedepan nya nanti 😊 yang pasti ekonomi mulai berjalan yang pasti petani harus lebih giat lagi apa pun itu,0,2 weeks ago,@romina6907
Seolah negara Indonesia hnya milik mereka2 saja..makan kenyang uang ngalir terus..,0,2 weeks ago,@parmiaryani4990
Program untuk korupsi,0,2 weeks ago,@parmiaryani4990
Ini sangat membantu,0,2 weeks ago,@RealMostchslime2
"800 juta dana anggaran opini publik pakai apbn, mana ko gada yang bela mbg dana nya kemana",0,2 weeks ago,@reyy174
Mbg pentas nya buat makan kucing 😂,0,2 weeks ago,@ikahsantikah5786
"300 trilyun lebih yg sampai ke masyarakat tdk lebih dr 30%.
Mending kasih rakyat org tua murid & org miskin. Insya Allah bermanfaat dan berdampak pd ekonomi kerakyatan... 
Iya ngga seh...?",0,3 weeks ago,@ayodhiaanto8215
Program menghamburkan uang rakyat 😭😭😭,0,3 weeks ago,@faizandries2897
MBG adalah progam konyol,0,3 weeks ago,@CikoJuli-j9g
Dana trilyunan cuma jadi tinja,0,3 weeks ago,@CikoJuli-j9g
Kalau saya MBG gak ada manfaatnya tmpat ladang korupsi,0,3 weeks ago,@CikoJuli-j9g
Anaknya makan gratis di skolah. Di rumah ibunya pusing belanja ke pasar harga naik untuk bikin masakan di rumah,0,3 weeks ago,@mustofaenalachjri6633
MBG bikin lembaga sekolah kyak barak barak militer yg menyediakan makanan untuk tentara dlm Susana perang,0,3 weeks ago,@gemuruhchannel9524
Kalau mau menutup Mbg harus sama presidenya baru bisa tutup MBG,0,3 weeks ago,@CahyaSaputra-c7t
Program mbg hanya untuk memperkenyang perut para elit koruptor ttup aja mbg abisin anggaran pajak rakyat,0,1 month ago,@IanIkhsan-fv2qj
MBG ltu program untuk mengamankan kursi 2029.,0,1 month ago,@suwardi3248
Makan gratis terus saja sampai ko suksesss nak😅,0,1 month ago (edited),@etrymatutu6635
apane menguntungkan petani dan peternak. Orang mayoritas malah impor dari luar. Atau bahan baku dari korporasi2 pabrik raksasa tertentu,0,1 month ago,@fahmiarofi4237
"Bubarkan MBG...
bubarkan MBG
Bubarkan MBG...",0,1 month ago,@Athaya931
"Rakyat itu dah tahu bahwa program MBG itu membawa hal negatip dan negatip...
Dan TDK menguntungkan rakyat..
Malah menjadi beban rakyat.
itupun yg di untungkan orang kaya dan pejabat aja..
Lihat aja dan semakin secara detail...
Yang kaya semakin kaya..
Dan itupun akan membawa dampak hancurnya ekonomi Indonesia...
Hampir 85% rakyat menolak adanya MBG..
Karena bikin susah dan resah kepada rakyat..
Bubarkan MBG..",0,1 month ago,@Athaya931
Mbg bisnis para orang orang berduwit.,0,1 month ago,@AldiyusufPurnama
Mbg. Proyek. Korupsi.   Gila. Gilaan   stop. Lah. Uang. Rakyat. Hasil. Pajak,0,1 month ago,@AsepBasit-jb2jd
"Bagi rakyat MBG itu di nilai negatip...
karena MBG suatu yg sangat merugikan rakyat...
Dan yg di untungkan cuma orang kaya dan pejabat...
Ini menjadikan suatu bisnis dan proyek yg di berikan pemerintah tapi cuma orang kaya dan pejabat...
Rakyat kecil cuma jadi penonton dan pendengar...
Tapi dampak dari MBG besar sekali...
1.Menguras anggaran yg sangat besar.
2..merugikan rakyat kecil.
3.Tidak manfaatnya.
4. bahan pokok naik.
5.Pendidikkan di asingkan.
6.Kesehatan juga di kalahkan.
7. Dan masih banyak dampak dari MBG...
Padahal gak pada di makan, masih menguras anggaran.
Itupun yg di untungkan orang kaya dan pejabat..
Pemerintah koclok dan koclok...gak di pikir matang matang...
Ini suatu kegagalan dalam pemerintah saat ini....
Bubarkan MBG...",0,1 month ago,@Athaya931
"Awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yg niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya MBG, yg awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yg mendirikan MBG, yg awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yg harus mengerem pengeluaran/ efisiensi, harus nya ada tim audit dari negara yg mengecek apakah dana tersalurkan dengan benar atau ada permainan😊 kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan  penjajah muncul dari bangsa sendiri😊",0,1 month ago (edited),@pa4893
Ngotot mbg karena tak bisa dengar lihat dan mikir jeritan  rakyat,0,1 month ago,@CahyaSaputra-c7t
Praktek korupsi yg terselubung,0,1 month ago,@randosijabat3325
Aneh program persiden emangtidakada kerjaan?ujug ujug bikin dapur nasional emang rayat yangmana yansedang kelaparan? Inimah kerjaan anak SD anehhh😂,0,1 month ago,@DaskamsumartoDaskam
Gue mau para pekerja mbg gak ikut pemilu. Kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok gak demokratis lagi,0,1 month ago,@turtelepratama6112
Potensi korupsi ya gila,0,1 month ago,@AndriKevinKevin
Bapak ibu Dewan² perwakilan Pada kemana ini... Kok gak ada yang bersuara,0,1 month ago,@BaLuGu_99
Terbesar dan terbusuk dan terbodoh dari rezim prabowo....,0,1 month ago,@suparyanto985
"Sayang sekali uang ratusan terliun hanya jaditai, ini mau niru cerita nabi sulaiman yg mau memberi semua mahluk, tapi kalau nabi pake duit sendiri dan pada akhirnya dia juga angkat tangan",0,1 month ago,@azam2241
